69945  4
48244  4
65392  5
51841  1
152948 2
72650  3
157032 4
114135 3
114528 3
133986 2
144190 0
123651 4
70405  5
73710  3
148574 2
152931 3
135168 2
68726  3
64391  3
48212  1
133464 1
56309  1
68215  3
116531 2
64648  0
150259 0
49974  1
35943  3
35235  1
57270  3
104199 3
130392 0
66346  3
72675  4
41071  5
47098  2
52149  0
164630 3
156766 4
149661 3
139703 0
59738  1
61110  3
48507  2
48606  5
38527  1
67742  3
61938  3
123438 5
95581  4
77255  3
61446  1
71177  3
73984  5
36506  2
47784  4
59988  3
59634  5
51916  1
50021  2
149569 1
138079 3
148785 3
139374 1
153453 3
154353 3
59348  4
49993  3
44394  3
70506  3
76055  4
64852  4
99588  5
102596 1
102666 3
92699  3
82844  4
91166  3
91199  3
61639  3
76024  2
43997  2
47106  3
47162  2
46504  2
39008  1
61250  3
55859  2
51217  1
149726 3
151074 4
132723 4
130242 1
150925 3
138929 2
154708 2
52498  3
53714  5
53801  1
57645  1
57939  3
60483  4
59442  3
60880  1
39231  4
35835  2
38156  5
75938  3
73594  2
76186  4
73012  3
71531  3
71839  3
61786  3
62615  1
67335  2
80017  4
103942 4
112918 3
115020 1
111002 3
111758 5
119261 3
113083 4
104195 2
122454 0
127664 2
129081 1
92810  3
95724  3
100558 1
67387  3
62288  0
71963  2
69494  3
38457  4
33179  4
46960  3
47047  3
45483  2
61227  2
53892  1
54131  4
53511  0
52442  1
155527 2
160583 2
142668 3
143388 3
149668 3
132674 4
134808 3
137156 3
133185 1
141430 3
142171 0
160446 3
159282 3
159324 1
52422  4
51758  1
52640  2
52998  5
53220  1
54453  2
54577  4
57659  4
56581  1
45874  0
46193  3
47171  2
44189  1
43681  2
44401  3
48133  2
47429  0
36050  3
33006  1
37670  5
39329  2
41323  3
43151  1
68872  5
70068  3
74367  0
74701  3
76689  3
64474  3
100152 2
82115  3
128067 4
113516 2
121702 3
116556 0
118742 1
129499 3
130785 3
79757  4
78067  5
91096  3
100225 1
100455 3
98997  3
91736  4
98981  3
61246  3
61553  1
61359  4
65252  3
67080  2
70152  2
70023  3
69860  0
38863  2
36280  0
47352  1
35170  3
47289  1
57101  1
57516  1
60546  2
59371  4
54919  1
54022  1
54069  2
159710 3
154549 4
155888 5
154715 1
153317 2
153336 2
164421 2
139270 3
150089 3
149616 1
134340 3
132894 0
137323 3
137345 1
137775 3
134996 4
133652 1
134797 3
136642 2
137938 2
132307 3
134620 1
134711 2
151611 2
149338 5
138207 3
138439 2
139839 5
148667 2
164276 3
44891  1
153207 3
153741 4
156336 3
156348 4
156467 2
156489 3
162732 3
161043 3
160281 0
160379 3
159663 3
53365  1
53797  1
51731  3
51671  4
50063  0
59638  4
59853  2
61272  2
57388  2
57506  3
57676  2
53984  2
57546  2
47292  1
44465  1
47753  3
48051  2
48149  1
33197  3
34976  2
35124  2
32873  3
33666  3
43319  1
72075  1
76708  2
74991  3
73032  2
65269  3
61408  0
63206  1
62577  1
98004  3
96201  3
96691  4
99129  3
91676  2
81049  2
123466 0
123612 3
126377 3
127438 3
130903 3
131071 0
130155 2
130176 3
129387 3
113536 5
82630  0
78831  3
80776  3
95751  1
100362 3
97932  1
96516  3
62259  0
64643  0
61659  4
65409  2
66114  3
68257  0
68865  3
73219  3
76385  0
65248  2
72751  3
72832  2
68960  2
68992  2
39489  1
33996  2
34875  1
33122  3
35162  1
33587  3
49739  2
48137  1
44894  4
45377  2
57926  2
57531  1
56031  1
61232  1
59957  0
60044  3
60045  0
50067  4
51730  0
51925  2
52112  2
52636  1
53578  0
53650  0
53905  0
55473  0
156876 3
161695 3
162152 2
163966 3
153811 2
144716 4
143768 3
139841 1
136488 2
138919 3
149546 1
148791 2
152865 3
134739 0
133339 1
130246 0
133180 1
138188 3
136817 0
135967 1
136482 1
137569 0
132837 2
133591 0
149600 4
149606 1
153568 4
156518 3
154360 3
52058  3
57633  0
47594  1
36461  0
33007  0
34876  2
68137  0
68142  1
64887  4
98984  3
99637  1
92963  1
123027 1
